party,party_new,countryname,partyname
21221,21321,Belgium,Socialist Party Different - Spirit
13210,13229,Denmark,Left Socialist Party
15320,15328,Iceland,Social Democratic Party
41112,41113,Germany,Greens/Alliance‘90
41111,41113,Germany,The Greens
41222,41223,Germany,The Left. Party of Democratic Socialism
41221,41223,Germany,Party of Democratic Socialism
23112,23113,Luxembourg,Green Alternative
22230,22110,Netherlands,Pacifist Socialist Party
62620,62623,Canada,Progressive Conservative Party
113440,113441,South Korea,Democratic Party
113430,113441,South Korea,Millenium Democratic Party
113421,113441,South Korea,National Congress for New Politics
113420,113441,South Korea,Democratic Party
113320,113322,South Korea,Democratic Labour Party
113321,113322,South Korea,United Progressive Party
171032,171301,Mexico,Alliance for Mexico 2006
171031,171301,Mexico,Alliance for Mexico 2000