survey,item,variable,values,question_text
amb_mexico_combo,quota8,eref1,c(1:8),To what extent do you approve or disapprove of fixing a minimum quota to increase the number of women who can be elected to the legislature
amb_mexico_combo,jobs7,gen1,c(7:1),"Changing the subject again, some say that when there is not enough work, men should have a greater right to jobs than women."
amb_mexico_combo,polileader4,vb50,c(1:4),"On the whole, men make better political leaders than women do"
amb_mexico_combo,politicianecon3,vb52,c(1:3),"If a politician is responsible for running the national economy, who would do a better job, a man, or a woman or does it not matter?"
amb_mexico_combo,politics3,w10,c(1:3),Attitudes towards Participation of Women in Politics
amb_mexico_combo,quota7,gen6,c(1:7),To what extent do you approve or disapprove of fixing a minimum quota to increase the number of women who can be elected to the legislature
issp2002,income5,v10,c(5:1),Both the man and woman should contribute to the household income
issp2002,tradroles5,v11,c(1:5),A husband's job is to earn money; a wife's job is to look after the home and family
issp2008,tradroles5,v12,c(1:5),A husband's job is to earn money; a wife's job is to look after the home and family
issp2012,income5,v11,c(1:5),A husband's job is to earn money; a wife's job is to look after the home and family
issp2012,tradroles5,v10,c(5:1),Both the man and woman should contribute to the household income
lb1997,tradroles4a,nsp68b,c(1:4),It is preferable that a woman concentrates on the home and a man on his work
lb2000,tradroles4a,p69st,c(1:4),It is preferable that a woman concentrates on the home and a man on his work
lb2004,polileader4,p57wvs_b,c(1:4),"On the whole, men make better political leaders than women do"
lb2004,tradroles4a,p57st_a,c(1:4),It is preferable that a woman concentrates on the home and a man on his work
lb2006,office2,p87n_5,c(1:0),Why there are not enough women in public charges: That is not their place
lb2009,polileader4,p67wvs_d,c(1:4),"On the whole, men make better political leaders than women do"
lb2009,tradroles4a,p67st_c,c(1:4),It is preferable that a woman concentrates on the home and a man on his work
pew2002,tradroles2,q38,c(1:2),"What kind of marriage do you think is the more satisfying way of life, number 1 or number 2?   (SHOW CARD)"
pew2007,poliequal3,q47,"c(1,3,2)","Which one of the following statements comes closest to your opinion about men and women as political leaders? Men generally make better political leaders than women; In general, women and men make equally good political leaders; Women generally make better political leaders than men"
pew2010,equalright2,q80,c(2:1),"On a different subject, do you think women should have equal rights with men, or shouldn’t they?"
pew2010,job4,q69c,c(1:4),"When jobs are scarce, men should have more right to a job than women."
pew2010,tradroles2,q93,c(1:2),"What kind of marriage do you think is the more satisfying way of life, number 1 or number 2?   (SHOW CARD)"
pew2015,equalright4b,q56c,c(4:1),"For each of the following things, how important is it to have this in our country? women have the same rights as men"
pew2019,equalright4b,gender_equality,c(4:1),"For each of the following things, how important is it to have this in our country? women have the same rights as men"
pew2019,job4,kind_of_marriage,c(1:4),"What kind of marriage do you think is the more satisfying way of life, number 1 or number 2?   (SHOW CARD)"
pew2019,tradroles2,women_job,c(1:4),"When jobs are scarce, men should have more right to a job than women."
pewrel2014_latam,job4,q19d,c(1:4),"When jobs are scarce, men should have more right to a job than women."
wvs_combo,busiexecutive4,d078,c(1:4),"On the whole, men make better business executives than women do."
wvs_combo,income4,d058,c(4:1),Both the husband and wife should contribute to household income
wvs_combo,job3a,c001_01,"c(1,3,2)","When jobs are scarce, men should have more right to a job than women"
wvs_combo,polileader4,d059,c(1:4),"On the whole, men make better political leaders than women do"
wvs_combo,earn5,e213,c(1:5),I approve of a married woman earning money in business or industry even if she has a husband capable of supporting her
wvs7,job5,q33,c(1:5),"When jobs are scarce, men should have more right to a job than women"