country,year,ecec_enrollment
Australia,2005,NA
Australia,2006,NA
Australia,2007,NA
Australia,2008,NA
Australia,2009,NA
Australia,2010,37.97443967075522
Australia,2011,NA
Australia,2012,NA
Australia,2013,NA
Australia,2014,NA
Australia,2015,38.629
Australia,2016,38.242
Australia,2017,39.176
Australia,2018,39.826
Australia,2019,40.95
Australia,2020,44.946
Austria,2005,NA
Austria,2006,NA
Austria,2007,NA
Austria,2008,NA
Austria,2009,NA
Austria,2010,12.48017740417467
Austria,2011,NA
Austria,2012,NA
Austria,2013,NA
Austria,2014,NA
Austria,2015,NA
Austria,2016,NA
Austria,2017,18.311
Austria,2018,18.981
Austria,2019,19.567
Austria,2020,20.173
Belgium,2005,44.50572431087494
Belgium,2006,42.35066473484039
Belgium,2007,45.238623023033135
Belgium,2008,46.79328799247742
Belgium,2009,36.857044696807854
Belgium,2010,39.1661524772644
Belgium,2011,41.277724504470825
Belgium,2012,51.35332942008972
Belgium,2013,47.79061675071716
Belgium,2014,54.66309189796448
Belgium,2015,54.40613627433777
Belgium,2016,47.98821210861206
Belgium,2017,56.55319094657898
Belgium,2018,56.82634711265564
Belgium,2019,58.10549259185791
Belgium,2020,56.897199153900154
Canada,2005,NA
Canada,2006,NA
Canada,2007,NA
Canada,2008,NA
Canada,2009,NA
Canada,2010,NA
Canada,2011,NA
Canada,2012,NA
Canada,2013,NA
Canada,2014,NA
Canada,2015,NA
Canada,2016,NA
Canada,2017,NA
Canada,2018,NA
Canada,2019,NA
Canada,2020,NA
Chile,2005,NA
Chile,2006,NA
Chile,2007,NA
Chile,2008,NA
Chile,2009,NA
Chile,2010,NA
Chile,2011,NA
Chile,2012,NA
Chile,2013,NA
Chile,2014,NA
Chile,2015,18.833
Chile,2016,19.895
Chile,2017,21.311
Chile,2018,22.075
Chile,2019,22.862
Chile,2020,19.522
Colombia,2005,NA
Colombia,2006,NA
Colombia,2007,NA
Colombia,2008,NA
Colombia,2009,NA
Colombia,2010,NA
Colombia,2011,NA
Colombia,2012,NA
Colombia,2013,NA
Colombia,2014,NA
Colombia,2015,31.891
Colombia,2016,56.999
Colombia,2017,44.006
Colombia,2018,35.269
Colombia,2019,25.931
Colombia,2020,29.799
Costa Rica,2005,NA
Costa Rica,2006,NA
Costa Rica,2007,NA
Costa Rica,2008,NA
Costa Rica,2009,NA
Costa Rica,2010,NA
Costa Rica,2011,NA
Costa Rica,2012,NA
Costa Rica,2013,NA
Costa Rica,2014,NA
Costa Rica,2015,NA
Costa Rica,2016,7.037000000000001
Costa Rica,2017,6.994999999999999
Costa Rica,2018,7.211999999999998
Costa Rica,2019,NA
Costa Rica,2020,NA
Czechia,2005,2.494207583367825
Czechia,2006,2.592942863702774
Czechia,2007,2.6256902143359184
Czechia,2008,2.153242565691471
Czechia,2009,4.681309685111046
Czechia,2010,3.98394912481308
Czechia,2011,6.152191385626793
Czechia,2012,4.9612849950790405
Czechia,2013,4.288289695978165
Czechia,2014,5.596400052309036
Czechia,2015,4.878252744674683
Czechia,2016,5.965346843004227
Czechia,2017,8.248914033174515
Czechia,2018,10.966092348098757
Czechia,2019,7.405804097652435
Czechia,2020,5.913646519184113
Denmark,2005,NA
Denmark,2006,NA
Denmark,2007,NA
Denmark,2008,NA
Denmark,2009,NA
Denmark,2010,NA
Denmark,2011,NA
Denmark,2012,NA
Denmark,2013,NA
Denmark,2014,NA
Denmark,2015,NA
Denmark,2016,NA
Denmark,2017,56.053
Denmark,2018,55.966
Denmark,2019,55.822
Denmark,2020,55.266
Estonia,2005,NA
Estonia,2006,NA
Estonia,2007,NA
Estonia,2008,NA
Estonia,2009,NA
Estonia,2010,22.796038769490096
Estonia,2011,NA
Estonia,2012,NA
Estonia,2013,NA
Estonia,2014,NA
Estonia,2015,NA
Estonia,2016,NA
Estonia,2017,25.136
Estonia,2018,26.834
Estonia,2019,25.986
Estonia,2020,25.843
Finland,2005,24.64535986795345
Finland,2006,NA
Finland,2007,NA
Finland,2008,NA
Finland,2009,NA
Finland,2010,26.60773357796125
Finland,2011,NA
Finland,2012,NA
Finland,2013,NA
Finland,2014,NA
Finland,2015,NA
Finland,2016,NA
Finland,2017,31.16
Finland,2018,33.374
Finland,2019,35.404
Finland,2020,36.991
France,2005,43.901655077934265
France,2006,42.37790405750275
France,2007,40.92139005661011
France,2008,46.24848067760468
France,2009,49.44389462471008
France,2010,47.93471395969391
France,2011,50.95711350440979
France,2012,50.81273317337036
France,2013,50.591307878494256
France,2014,51.92590951919556
France,2015,52.272778749465935
France,2016,56.65900707244873
France,2017,56.3201665878295
France,2018,57.4670016765594
France,2019,60.3635311126708
France,2020,58.051759004592896
Germany,2005,16.803082886585603
Germany,2006,NA
Germany,2007,NA
Germany,2008,NA
Germany,2009,NA
Germany,2010,26.80012357665302
Germany,2011,NA
Germany,2012,NA
Germany,2013,NA
Germany,2014,NA
Germany,2015,NA
Germany,2016,NA
Germany,2017,37.187
Germany,2018,37.656
Germany,2019,38.515
Germany,2020,39.153
Greece,2005,13.968251645565031
Greece,2006,18.17774623632431
Greece,2007,14.15892094373703
Greece,2008,15.6315416097641
Greece,2009,15.699058771133425
Greece,2010,11.328922212123873
Greece,2011,21.28405272960663
Greece,2012,22.923944890499115
Greece,2013,16.91605895757675
Greece,2014,13.765902817249298
Greece,2015,14.091832935810087
Greece,2016,11.549293249845505
Greece,2017,23.439398407936096
Greece,2018,44.049036502838135
Greece,2019,35.331496596336365
Greece,2020,22.98276871442795
Hungary,2005,6.614126027010824
Hungary,2006,NA
Hungary,2007,NA
Hungary,2008,NA
Hungary,2009,NA
Hungary,2010,9.555631868131869
Hungary,2011,NA
Hungary,2012,8.859774470329283
Hungary,2013,14.112764596939089
Hungary,2014,14.464999735355375
Hungary,2015,NA
Hungary,2016,19.11346465349197
Hungary,2017,15.10130614042282
Hungary,2018,16.492433845996857
Hungary,2019,19.91589069366455
Hungary,2020,11.566192656755453
Iceland,2005,52.63936468389909
Iceland,2006,NA
Iceland,2007,NA
Iceland,2008,NA
Iceland,2009,NA
Iceland,2010,54.84644913627639
Iceland,2011,NA
Iceland,2012,NA
Iceland,2013,NA
Iceland,2014,NA
Iceland,2015,NA
Iceland,2016,NA
Iceland,2017,51.31824016571045
Iceland,2018,61.09955906867981
Iceland,2019,NA
Iceland,2020,NA
Ireland,2005,26.112210750579838
Ireland,2006,25.213468074798584
Ireland,2007,28.792381286621094
Ireland,2008,31.83409869670868
Ireland,2009,23.66458624601364
Ireland,2010,29.74383533000946
Ireland,2011,22.87967950105667
Ireland,2012,30.441564321517944
Ireland,2013,32.87585973739624
Ireland,2014,35.036835074424744
Ireland,2015,35.546714067459106
Ireland,2016,39.39485847949982
Ireland,2017,32.05253183841705
Ireland,2018,41.27776920795441
Ireland,2019,42.868319153785706
Ireland,2020,35.78563928604126
Israel,2005,NA
Israel,2006,NA
Israel,2007,NA
Israel,2008,NA
Israel,2009,NA
Israel,2010,NA
Israel,2011,NA
Israel,2012,NA
Israel,2013,NA
Israel,2014,NA
Israel,2015,NA
Israel,2016,56.3
Israel,2017,56.039
Israel,2018,57.72
Israel,2019,57.499
Israel,2020,56.87
Italy,2005,27.347072958946228
Italy,2006,28.57830822467804
Italy,2007,25.7641077041626
Italy,2008,28.88433039188385
Italy,2009,25.920993089675903
Italy,2010,23.320287466049194
Italy,2011,27.35118567943573
Italy,2012,21.89669907093048
Italy,2013,23.081989586353306
Italy,2014,24.174027144908905
Italy,2015,29.455316066741943
Italy,2016,35.53939759731293
Italy,2017,29.671874642372128
Italy,2018,26.133564114570618
Italy,2019,27.820399403572083
Italy,2020,26.40596628189087
Japan,2005,16.184617647058825
Japan,2006,NA
Japan,2007,22.323759791122715
Japan,2008,NA
Japan,2009,NA
Japan,2010,25.349766822118585
Japan,2011,NA
Japan,2012,NA
Japan,2013,28.948258369969565
Japan,2014,NA
Japan,2015,NA
Japan,2016,33.00751879699248
Japan,2017,NA
Japan,2018,NA
Japan,2019,41.33386581469649
Japan,2020,NA
South Korea,2005,NA
South Korea,2006,NA
South Korea,2007,NA
South Korea,2008,NA
South Korea,2009,NA
South Korea,2010,38.19777181956008
South Korea,2011,NA
South Korea,2012,NA
South Korea,2013,NA
South Korea,2014,NA
South Korea,2015,52.463
South Korea,2016,53.036
South Korea,2017,57.01
South Korea,2018,62.737
South Korea,2019,65.194
South Korea,2020,62.593
Latvia,2005,18.150414526462555
Latvia,2006,17.757534980773926
Latvia,2007,15.91188907623291
Latvia,2008,15.375550091266632
Latvia,2009,17.031334340572357
Latvia,2010,18.709349632263184
Latvia,2011,17.966176569461823
Latvia,2012,26.40596628189087
Latvia,2013,23.34524840116501
Latvia,2014,23.990938067436215
Latvia,2015,20.92814296483993
Latvia,2016,26.372683048248287
Latvia,2017,31.349316239356995
Latvia,2018,25.92576742172241
Latvia,2019,28.481724858284
Latvia,2020,27.213320136070248
Lithuania,2005,13.225026240131427
Lithuania,2006,NA
Lithuania,2007,NA
Lithuania,2008,NA
Lithuania,2009,NA
Lithuania,2010,15.630095759233924
Lithuania,2011,NA
Lithuania,2012,NA
Lithuania,2013,NA
Lithuania,2014,NA
Lithuania,2015,NA
Lithuania,2016,NA
Lithuania,2017,24.841
Lithuania,2018,28.295
Lithuania,2019,29.914
Lithuania,2020,29.828
Luxembourg,2005,34.80434715747833
Luxembourg,2006,43.42784285545349
Luxembourg,2007,38.3945107460022
Luxembourg,2008,38.63661587238312
Luxembourg,2009,46.292296051979065
Luxembourg,2010,45.79751193523407
Luxembourg,2011,50.97270607948303
Luxembourg,2012,56.29395842552185
Luxembourg,2013,53.64689826965332
Luxembourg,2014,55.096858739852905
Luxembourg,2015,55.951350927352905
Luxembourg,2016,53.054821491241455
Luxembourg,2017,63.33900094032288
Luxembourg,2018,63.56033086776733
Luxembourg,2019,60.70472598075867
Luxembourg,2020,63.05801868438721
Mexico,2005,1.8837880691567688
Mexico,2006,NA
Mexico,2007,NA
Mexico,2008,NA
Mexico,2009,NA
Mexico,2010,2.4937271273633788
Mexico,2011,NA
Mexico,2012,NA
Mexico,2013,NA
Mexico,2014,NA
Mexico,2015,NA
Mexico,2016,NA
Mexico,2017,3.7110920485425214
Mexico,2018,3.995
Mexico,2019,4.111
Mexico,2020,4.574
Netherlands,2005,NA
Netherlands,2006,NA
Netherlands,2007,NA
Netherlands,2008,NA
Netherlands,2009,NA
Netherlands,2010,NA
Netherlands,2011,NA
Netherlands,2012,61.280137300491326
Netherlands,2013,54.63828444480896
Netherlands,2014,57.8077852725982
Netherlands,2015,55.88095188140869
Netherlands,2016,55.26975989341736
Netherlands,2017,62.962400913238525
Netherlands,2018,58.42527747154236
Netherlands,2019,65.53178429603577
Netherlands,2020,69.39151883125305
New Zealand,2005,NA
New Zealand,2006,NA
New Zealand,2007,NA
New Zealand,2008,NA
New Zealand,2009,NA
New Zealand,2010,NA
New Zealand,2011,NA
New Zealand,2012,NA
New Zealand,2013,NA
New Zealand,2014,NA
New Zealand,2015,NA
New Zealand,2016,NA
New Zealand,2017,48.878476253662896
New Zealand,2018,48.0702442798718
New Zealand,2019,48.7195931003981
New Zealand,2020,45.5636928539725
Norway,2005,32.73821698857493
Norway,2006,NA
Norway,2007,NA
Norway,2008,NA
Norway,2009,NA
Norway,2010,52.57054860861711
Norway,2011,NA
Norway,2012,NA
Norway,2013,NA
Norway,2014,NA
Norway,2015,NA
Norway,2016,NA
Norway,2017,56.302
Norway,2018,57.304
Norway,2019,58.036
Norway,2020,58.282
Poland,2005,2.809266581910574
Poland,2006,NA
Poland,2007,NA
Poland,2008,NA
Poland,2009,NA
Poland,2010,3.7690343099460297
Poland,2011,NA
Poland,2012,10.914022475481032
Poland,2013,9.289533644914627
Poland,2014,11.027965694665909
Poland,2015,7.441350072622301
Poland,2016,10.70525199174881
Poland,2017,15.811197459697723
Poland,2018,13.486026227474213
Poland,2019,11.624686419963837
Poland,2020,13
Portugal,2005,20.53761210273616
Portugal,2006,NA
Portugal,2007,NA
Portugal,2008,NA
Portugal,2009,NA
Portugal,2010,27.13846174183464
Portugal,2011,NA
Portugal,2012,NA
Portugal,2013,NA
Portugal,2014,NA
Portugal,2015,NA
Portugal,2016,NA
Portugal,2017,46.6081440448761
Portugal,2018,50.603324174880974
Portugal,2019,53.36127281188965
Portugal,2020,46.92290127277374
Slovakia,2005,2.8639724478125568
Slovakia,2006,4.907803982496262
Slovakia,2007,2.999715879559517
Slovakia,2008,2.971893735229969
Slovakia,2009,2.84973680973053
Slovakia,2010,2.9948929324746127
Slovakia,2011,4.617561027407646
Slovakia,2012,4.686579480767249
Slovakia,2013,3.099510632455349
Slovakia,2014,6.353674083948136
Slovakia,2015,0.9648760780692099
Slovakia,2016,0.96
Slovakia,2017,1.290497463196516
Slovakia,2018,1.24231344088912
Slovakia,2019,6.595692783594132
Slovakia,2020,4.35870960354805
Slovenia,2005,24.77824441138251
Slovenia,2006,NA
Slovenia,2007,NA
Slovenia,2008,NA
Slovenia,2009,NA
Slovenia,2010,33.99173887387807
Slovenia,2011,NA
Slovenia,2012,NA
Slovenia,2013,NA
Slovenia,2014,NA
Slovenia,2015,NA
Slovenia,2016,NA
Slovenia,2017,41.077
Slovenia,2018,42.562
Slovenia,2019,44.307
Slovenia,2020,45.538
Spain,2005,14.940426370500695
Spain,2006,NA
Spain,2007,NA
Spain,2008,NA
Spain,2009,NA
Spain,2010,26.31016339366537
Spain,2011,NA
Spain,2012,NA
Spain,2013,NA
Spain,2014,NA
Spain,2015,NA
Spain,2016,NA
Spain,2017,36.409
Spain,2018,38.199
Spain,2019,39.615
Spain,2020,41.069
Sweden,2005,NA
Sweden,2006,NA
Sweden,2007,NA
Sweden,2008,NA
Sweden,2009,NA
Sweden,2010,46.481485928345016
Sweden,2011,NA
Sweden,2012,NA
Sweden,2013,NA
Sweden,2014,NA
Sweden,2015,NA
Sweden,2016,NA
Sweden,2017,45.377
Sweden,2018,46.28
Sweden,2019,47.296
Sweden,2020,47.572
Switzerland,2005,NA
Switzerland,2006,NA
Switzerland,2007,NA
Switzerland,2008,16.270238161087036
Switzerland,2009,35.07184088230133
Switzerland,2010,33.49775671958923
Switzerland,2011,33.17932486534119
Switzerland,2012,39.1315758228302
Switzerland,2013,40.99499881267548
Switzerland,2014,37.95291781425476
Switzerland,2015,NA
Switzerland,2016,NA
Switzerland,2017,32.046008110046394
Switzerland,2018,36.470898985862725
Switzerland,2019,38.8568490743637
Switzerland,2020,36.964884400367744
Turkey,2005,NA
Turkey,2006,NA
Turkey,2007,NA
Turkey,2008,NA
Turkey,2009,NA
Turkey,2010,NA
Turkey,2011,NA
Turkey,2012,NA
Turkey,2013,NA
Turkey,2014,NA
Turkey,2015,NA
Turkey,2016,NA
Turkey,2017,0.286
Turkey,2018,0.217
Turkey,2019,0.24
Turkey,2020,0.192
United Kingdom,2005,36.95959150791168
United Kingdom,2006,39.66960906982422
United Kingdom,2007,44.81936693191528
United Kingdom,2008,40.79105257987976
United Kingdom,2009,41.30905866622925
United Kingdom,2010,40.11270403862
United Kingdom,2011,39.1012966632843
United Kingdom,2012,30.99884688854217
United Kingdom,2013,34.41126048564911
United Kingdom,2014,33.59610736370087
United Kingdom,2015,34.36570167541504
United Kingdom,2016,31.54941201210022
United Kingdom,2017,37.74265944957733
United Kingdom,2018,45.09131014347077
United Kingdom,2019,NA
United Kingdom,2020,NA
United States,2005,NA
United States,2006,27.426403554224915
United States,2007,NA
United States,2008,NA
United States,2009,NA
United States,2010,25.771041815298535
United States,2011,27.968601740127635
United States,2012,NA
United States,2013,NA
United States,2014,NA
United States,2015,NA
United States,2016,NA
United States,2017,NA
United States,2018,NA
United States,2019,NA
United States,2020,NA
Argentina,2005,NA
Argentina,2006,NA
Argentina,2007,NA
Argentina,2008,NA
Argentina,2009,NA
Argentina,2010,NA
Argentina,2011,NA
Argentina,2012,NA
Argentina,2013,NA
Argentina,2014,NA
Argentina,2015,NA
Argentina,2016,NA
Argentina,2017,NA
Argentina,2018,5.1184417060705
Argentina,2019,NA
Argentina,2020,NA
Brazil,2005,NA
Brazil,2006,NA
Brazil,2007,NA
Brazil,2008,NA
Brazil,2009,NA
Brazil,2010,NA
Brazil,2011,NA
Brazil,2012,9.65
Brazil,2013,NA
Brazil,2014,NA
Brazil,2015,NA
Brazil,2016,NA
Brazil,2017,20.1223186399502
Brazil,2018,21.1606663961986
Brazil,2019,21.8483775569111
Brazil,2020,21.1332845270084
China,2005,NA
China,2006,NA
China,2007,NA
China,2008,NA
China,2009,NA
China,2010,NA
China,2011,NA
China,2012,NA
China,2013,NA
China,2014,NA
China,2015,NA
China,2016,NA
China,2017,NA
China,2018,NA
China,2019,NA
China,2020,NA
India,2005,NA
India,2006,NA
India,2007,NA
India,2008,NA
India,2009,NA
India,2010,NA
India,2011,NA
India,2012,NA
India,2013,NA
India,2014,NA
India,2015,NA
India,2016,NA
India,2017,NA
India,2018,NA
India,2019,NA
India,2020,NA
Indonesia,2005,NA
Indonesia,2006,NA
Indonesia,2007,NA
Indonesia,2008,NA
Indonesia,2009,NA
Indonesia,2010,NA
Indonesia,2011,NA
Indonesia,2012,NA
Indonesia,2013,NA
Indonesia,2014,NA
Indonesia,2015,NA
Indonesia,2016,NA
Indonesia,2017,NA
Indonesia,2018,6.5084642542937
Indonesia,2019,NA
Indonesia,2020,NA
Russia,2005,20.79042350693453
Russia,2006,NA
Russia,2007,NA
Russia,2008,NA
Russia,2009,NA
Russia,2010,17.42864633337563
Russia,2011,NA
Russia,2012,NA
Russia,2013,NA
Russia,2014,NA
Russia,2015,NA
Russia,2016,NA
Russia,2017,18.979845719773
Russia,2018,19.857532298253
Russia,2019,NA
Russia,2020,NA
Saudi Arabia,2005,NA
Saudi Arabia,2006,NA
Saudi Arabia,2007,NA
Saudi Arabia,2008,NA
Saudi Arabia,2009,NA
Saudi Arabia,2010,NA
Saudi Arabia,2011,NA
Saudi Arabia,2012,NA
Saudi Arabia,2013,NA
Saudi Arabia,2014,NA
Saudi Arabia,2015,NA
Saudi Arabia,2016,NA
Saudi Arabia,2017,NA
Saudi Arabia,2018,NA
Saudi Arabia,2019,NA
Saudi Arabia,2020,NA
South Africa,2005,NA
South Africa,2006,NA
South Africa,2007,NA
South Africa,2008,NA
South Africa,2009,NA
South Africa,2010,NA
South Africa,2011,NA
South Africa,2012,NA
South Africa,2013,NA
South Africa,2014,NA
South Africa,2015,NA
South Africa,2016,NA
South Africa,2017,NA
South Africa,2018,NA
South Africa,2019,NA
South Africa,2020,NA
Bulgaria,2005,NA
Bulgaria,2006,NA
Bulgaria,2007,8.676362782716751
Bulgaria,2008,12.993957102298737
Bulgaria,2009,8.561613410711288
Bulgaria,2010,7.50638172030449
Bulgaria,2011,7.127326726913452
Bulgaria,2012,8.032705634832382
Bulgaria,2013,10.772544145584106
Bulgaria,2014,11.18852123618126
Bulgaria,2015,8.957116305828094
Bulgaria,2016,12.545463442802427
Bulgaria,2017,9.434736520051954
Bulgaria,2018,16.240660846233368
Bulgaria,2019,20.047308504581448
Bulgaria,2020,15.01100808382034
Croatia,2005,NA
Croatia,2006,NA
Croatia,2007,NA
Croatia,2008,NA
Croatia,2009,NA
Croatia,2010,8.390229940414429
Croatia,2011,13.381455838680267
Croatia,2012,11.144040524959564
Croatia,2013,11.333297938108444
Croatia,2014,16.883069276809692
Croatia,2015,13.329571485519407
Croatia,2016,16.562718152999878
Croatia,2017,19.44820880889893
Croatia,2018,20.13746201992035
Croatia,2019,16.6622593998909
Croatia,2020,19.93602961301804
Cyprus,2005,27.065545320510864
Cyprus,2006,31.607645750045776
Cyprus,2007,23.948465287685394
Cyprus,2008,33.44871699810028
Cyprus,2009,26.682132482528687
Cyprus,2010,30.37251830101013
Cyprus,2011,25.01665949821472
Cyprus,2012,26.482361555099487
Cyprus,2013,24.656477570533752
Cyprus,2014,30.024662613868717
Cyprus,2015,25.804203748703003
Cyprus,2016,28.047573566436768
Cyprus,2017,31.71441256999969
Cyprus,2018,38.510030508041375
Cyprus,2019,32.934251427650445
Cyprus,2020,22.318591177463528
Malta,2005,NA
Malta,2006,NA
Malta,2007,NA
Malta,2008,45.9867238998413
Malta,2009,42.57482290267944
Malta,2010,41.20940566062927
Malta,2011,40.32697379589081
Malta,2012,52.024006843566895
Malta,2013,52.47119665145874
Malta,2014,54.84634041786194
Malta,2015,NA
Malta,2016,NA
Malta,2017,NA
Malta,2018,NA
Malta,2019,NA
Malta,2020,NA
Romania,2005,NA
Romania,2006,NA
Romania,2007,8.723541349172592
Romania,2008,14.295120537281036
Romania,2009,6.893274933099747
Romania,2010,9.658172726631165
Romania,2011,4.624364897608757
Romania,2012,14.954462647438048
Romania,2013,11.713236570358276
Romania,2014,12.446779012680054
Romania,2015,11.041869968175888
Romania,2016,17.828872799873352
Romania,2017,16.80390238761902
Romania,2018,14.42832201719284
Romania,2019,16.122551262378693
Romania,2020,8.449751138687132
